"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Sulfur metabolism (KEGG)",0.165655464110906,0.470110193403301,4.86829183624512,4.02750136982158e-06,4.17935797884764e-05,3.64818264971265
"{TLE1,10} (Static Module)",0.208969694308256,0.768959731400078,4.71898553405095,7.40901029966695e-06,7.32797424951434e-05,3.06170630520377
"Glucuronidation (Wikipathways)",-0.121959381097175,-0.820424711642773,-4.70146378547652,7.95276033959977e-06,7.58297736760236e-05,2.99364763653143
"{IGF1,13} (Static Module)",-0.194689013114078,-1.43105383910718,-4.63122862916221,1.05473652227995e-05,9.52527934888099e-05,2.72248922817586
"Physiological and Pathological Hypertrophy  of the Heart (Wikipathways)",-0.124180755736151,0.656624123669469,-4.62621274160874,1.07611917558983e-05,9.52527934888099e-05,2.70322626630884
"Myogenesis (Reactome)",-0.115905529613293,-0.15953071762063,-4.53350277060985,1.55585332935059e-05,0.00013131402099719,2.34966817219312
"{F2,46} (Static Module)",0.146265931000361,-1.03727973347073,4.51711898329192,1.65983216325204e-05,0.000138246547281387,2.28768204667675
"Leishmaniasis (KEGG)",-0.108363704037946,1.34875839975449,-4.45938332879459,2.08251670654928e-05,0.000169004240416115,2.07044815364013
"{STX5,12} (Static Module)",0.202333326223704,0.709831361452973,4.43962688397924,2.24971881822152e-05,0.000180262279991674,1.99654685335467
"Peptide GPCRs (Wikipathways)",-0.108562153767628,-1.02203898958416,-4.43178050834265,2.31965784399027e-05,0.00018354292690573,1.96725833620206
"{GAPDH,13} (Static Module)",0.146202270035158,1.47593708572011,4.37129394564709,2.9338768395133e-05,0.000226480980416088,1.74266501483618
"IL-5 down reg. targets (Netpath)",-0.18030298722387,0.203172127017375,-4.36195310641871,3.04173006394126e-05,0.000231977726563231,1.70817006379714
"Viral myocarditis (KEGG)",-0.101260694199205,0.214128944726472,-4.3428237062278,3.27465940241157e-05,0.000246768976396015,1.63768542225143
"Serotonin HTR1 Group and FOS Pathway (Wikipathways)",-0.105583775555213,0.698936814877344,-4.31224381098835,3.68311256146346e-05,0.000271094215279811,1.52545501259337
"Homologous recombination (Wikipathways)",-0.135964302703543,-0.230766538636442,-4.30647334795739,3.76550515531498e-05,0.000273972961300504,1.50433868367167
"Steroid Biosynthesis (Wikipathways)",0.117910074979111,-1.92180592044114,4.29365071962916,3.95499260856101e-05,0.000282257499462284,1.45748617995219
"Muscle contraction (Reactome)",0.145937747950293,-0.718636965516242,4.28539877570199,4.0817557021179e-05,0.000287083484382293,1.42738592387715
"Alpha6 Beta4 Integrin up reg. targets (Netpath)",-0.149037215106067,0.577357084729824,-4.28215809181391,4.1325996866633e-05,0.000287465450731634,1.41557606479801
"Metabolism of porphyrins (Reactome)",0.251954646974556,0.81733292043529,4.22950992932894,5.0491230824033e-05,0.000347270698903748,1.22458997314367
"Caffeine metabolism (KEGG)",-0.269522180821623,-0.643815439606372,-4.22675643019707,5.10208135830151e-05,0.000347270698903748,1.21464707794021
"Selenium Metabolism and Selenoproteins (Wikipathways)",0.10490859451438,0.0312432356993998,4.16592729333812,6.41779397829282e-05,0.000418810679201995,0.996161765277177
"{TIA1,10} (Static Module)",0.151853541912857,1.36944580844029,4.1330790647794,7.25799040066365e-05,0.000461832771128019,0.879115044377087
"Nucleotide GPCRs (Wikipathways)",0.150414417698322,-1.10189225383071,4.13168319264021,7.29593635273331e-05,0.000461832771128019,0.874155858012275
"Proximal tubule bicarbonate reclamation (KEGG)",0.101859816110424,-0.519685821372808,4.02401929156748,0.000108717130781224,0.00065540898842395,0.495295544395886
"Graft-versus-host disease (KEGG)",-0.187672269830714,1.0669517724937,-4.00843385350959,0.000115115176230403,0.000681008472465845,0.441053362806028
"Alanine and aspartate metabolism (Wikipathways)",0.123775780853174,-0.626857991119432,3.94189716493047,0.000146710964228975,0.000829178931758402,0.211221341441803
"{MLLT4,12} (Static Module)",-0.110004242055956,-1.07572103605994,-3.92692755680145,0.000154883175475472,0.000860009211192751,0.159903664074011
"{DLD,16} (Static Module)",0.114992547399743,0.479464718977821,3.92342584493003,0.000156856615337595,0.000863393369640847,0.147920196954884
"{ATP5D,19} (Static Module)",-0.1676345241205,2.42964645863343,-3.89410670657215,0.000174348217569566,0.000935646697313818,0.0478960944277578
"{HMGB1,14} (Static Module)",0.129731473513236,-0.129659260817167,3.81692072819603,0.000229734409729104,0.00122203261645817,-0.212749550642167
"{KCNB1,10} (Static Module)",-0.192948624964728,-2.19131329537146,-3.76421288882549,0.00027678416158653,0.0014421823259497,-0.388478804998543
"Steroid biosynthesis (KEGG)",0.145067912189472,-0.0329484490452563,3.76301196026358,0.000277956151288884,0.0014421823259497,-0.392461183129034
"Arylamine metabolism (Wikipathways)",-0.185308135373291,1.12563198899001,-3.69169319956016,0.000356667407198436,0.00177772022643,-0.627223274930902
"{CYCS,35} (Static Module)",-0.124804585538594,2.11048881500594,-3.66499945252587,0.000391239485619626,0.00193480151872831,-0.71420714402
"{RAN,17} (Static Module)",-0.166221941247536,1.06885025318429,-3.6590597224068,0.000399352973952458,0.00195961575590625,-0.733496241207792
"{NOTCH1,44} (Static Module)",-0.100818918793188,-0.12633352344721,-3.49867325879537,0.000689307296954951,0.00307275717586256,-1.24513853984166
"Ribosome (KEGG)",-0.142092005176982,3.00521032782608,-3.38619174829645,0.00100090744072319,0.0041958570197204,-1.5931662893137
"Biogenic Amine Synthesis (Wikipathways)",0.114090389901286,-1.80694083654075,3.36199379083663,0.00108335912829311,0.00451162058032592,-1.66685077447619
"{MED1,34} (Static Module)",0.144728098110034,0.153057174684976,3.28827523540886,0.00137553585641232,0.00554595030005733,-1.88870513961648
"Nicotine metabolism (Wikipathways)",-0.108592353211678,-2.08632179040822,-3.23575709159238,0.00162701421262943,0.00643687497871517,-2.04432453939152
"Integrated Cancer pathway (Wikipathways)",-0.12272815598101,0.0158162651530321,-3.17860475722467,0.00194908576890313,0.00752299568119319,-2.21134948675023
"Methylation Pathways (Wikipathways)",-0.146939781997235,0.0362425600366462,-3.11264109695214,0.00239424382037235,0.00886342962428849,-2.40107868834257
"Phase I, non P450 (Wikipathways)",-0.100129212917536,-0.493598636045708,-3.04360571196554,0.00295992515602234,0.0107680035848399,-2.59610670989465
"Irinotecan Pathway (Wikipathways)",0.105797045317199,-1.28305621884823,2.99045257223408,0.00347718237661651,0.0121605328419793,-2.74377507439884
"Cytoplasmic Ribosomal Proteins (Wikipathways)",-0.120782909325602,2.94287912356186,-2.95264227463452,0.00389460967982281,0.0133258806882586,-2.84748680658208
"Th1/Th2 (Wikipathways)",0.149167197127285,-2.79554519612406,2.89381611024771,0.00463662448865728,0.0155290121762966,-3.00662432300897
"{SFPQ,10} (Static Module)",0.182689014930579,0.800217776798942,2.80266139166071,0.00604594252222662,0.0194268102363932,-3.24782365699732
"{ROCK1,10} (Static Module)",0.160799202719178,0.116581757006719,2.7681999052592,0.00667374504133583,0.0212285457847517,-3.33728514476116
"Fluoropyrimidine Activity (Wikipathways)",0.112732719963835,0.00179164148662496,2.68448682539754,0.00845377937439482,0.025851412289816,-3.55061670917224
"{DHX15,14} (Static Module)",0.121875634050885,0.379281037384073,2.42280463452402,0.0171282330261136,0.0457475590950629,-4.18034648749635
"IL-3 down reg. targets (Netpath)",-0.127563987521847,1.04031867653749,-2.41928078042997,0.0172859105685259,0.0459747117221719,-4.1884359719
